sample_name,colSums(counts_combined[-c(1:6)])
HVO_DS2_reference,29096169
deltadelta_a_glu_S16,29116467
deltadelta_a_noglu_S35,31488681
deltadelta_b_glu_S53,30233464
deltadelta_b_noglu_S36,26928525
deltadelta_c_glu_S43,23636036
deltadelta_d_glu_S44,25005124
deltadelta_d_noglu_S5,26145375
tbsP_a_glu_S33,27292727
tbsP_a_noglu_S24,32360923
tbsP_b_glu_S2,25863344
tbsP_b_noglu_S30,33327018
tbsP_c_glu_S51,30137131
tbsP_c_noglu_S15,28319959
tbsP_d_glu_S52,28939232
tbsP_d_noglu_S31,30675158
trmB_a_glu_S4,25453823
tbsP_e_noglu_S50,33001942
tbsP_e_glu_S3,30161615
trmB_a_noglu_S32,24286335
trmB_b_noglu_S25,32992527
trmB_c_glu_S34,27100684
trmB_c_noglu_S1,29544209
WT_a_glu_S39,29199317
WT_a_noglu_S37,30314246
WT_b_glu_S13,30338776
WT_b_noglu_S17,31111588
WT_c_glu_S18,25877864
WT_c_noglu_S6,28930312
WT_d_glu_S19,45064312
WT_d_noglu_s38,27759637
dpyrE2_4hmfe_2_S5,17855366
dpyrE2_4hmfe_4_S9,24478872
dpyrE2_4hmfe_5_S18,21647819
dpyrE2_4hpfe_2_S2,15892078
dpyrE2_4hpfe_4_S16,16785354
dpyrE2_4hpfe_5_S12,17772029
dtbsP_4hpfe_2_S38,17315739
dtbsP_4hpfe_5_S43,17935338
dtbsP_4hpfe_6_S49,22311175
dtrmB_4hmfe_1_S24,23957912
dtrmB_4hmfe_5_S30,14780381
dtrmB_4hmfe_6_S36,30505809
dtrmB_4hpfe_1_S21,22809082
dtrmB_4hpfe_5_S27,23540221
dtrmB_4hpfe_6_S33,18691834
dtrmBdtbsP_4hmfe_5_S66,5082634
dtrmBdtbsP_4hmfe_6_S72,32404276
HV35_ypc18_S15,6333667
