"","rowname","genotype","glucose","batch","paired"
"1","deltadelta_a_glu_S16","DD","pGlu","RH_S1_2021","PE"
"2","deltadelta_a_noglu_S35","DD","mGlu","RH_S1_2021","PE"
"3","deltadelta_b_glu_S53","DD","pGlu","RH_S1_2021","PE"
"4","deltadelta_b_noglu_S36","DD","mGlu","RH_S1_2021","PE"
"5","deltadelta_c_glu_S43","DD","pGlu","RH_S1_2021","PE"
"6","deltadelta_d_glu_S44","DD","pGlu","RH_S1_2021","PE"
"7","deltadelta_d_noglu_S5","DD","mGlu","RH_S1_2021","PE"
"8","tbsP_a_glu_S33","tbsP","pGlu","RH_S1_2021","PE"
"9","tbsP_a_noglu_S24","tbsP","mGlu","RH_SP_2021","PE"
"10","tbsP_b_glu_S2","tbsP","pGlu","RH_S1_2021","PE"
"11","tbsP_b_noglu_S30","tbsP","mGlu","RH_S1_2021","PE"
"12","tbsP_c_glu_S51","tbsP","pGlu","RH_S1_2021","PE"
"13","tbsP_c_noglu_S15","tbsP","mGlu","RH_S1_2021","PE"
"14","tbsP_d_glu_S52","tbsP","pGlu","RH_S1_2021","PE"
"15","tbsP_d_noglu_S31","tbsP","mGlu","RH_S1_2021","PE"
"16","trmB_a_glu_S4","trmB","pGlu","RH_S1_2021","PE"
"17","tbsP_e_noglu_S50","tbsP","mGlu","RH_S1_2021","PE"
"18","tbsP_e_glu_S3","tbsP","pGlu","RH_S1_2021","PE"
"19","trmB_a_noglu_S32","trmB","mGlu","RH_S1_2021","PE"
"20","trmB_b_noglu_S25","trmB","mGlu","RH_SP_2021","PE"
"21","trmB_c_glu_S34","trmB","pGlu","RH_S1_2021","PE"
"22","trmB_c_noglu_S1","trmB","mGlu","RH_S1_2021","PE"
"23","WT_a_glu_S39","WT","pGlu","RH_S1_2021","PE"
"24","WT_a_noglu_S37","WT","mGlu","RH_S1_2021","PE"
"25","WT_b_glu_S13","WT","pGlu","RH_SP_2021","PE"
"26","WT_b_noglu_S17","WT","mGlu","RH_S1_2021","PE"
"27","WT_c_glu_S18","WT","pGlu","RH_S1_2021","PE"
"28","WT_c_noglu_S6","WT","mGlu","RH_S1_2021","PE"
"29","WT_d_glu_S19","WT","pGlu","RH_S1_2021","PE"
"30","WT_d_noglu_s38","WT","mGlu","RH_S1_2021","PE"
"31","dpyrE2_4hpfe_2_S2","WT","pGlu","MMP_2019","SE"
"32","dpyrE2_4hpfe_4_S16","WT","pGlu","MMP_2019","SE"
"33","dtbsP_4hpfe_2_S38","tbsP","pGlu","MMP_2019","SE"
"34","dtbsP_4hpfe_5_S43","tbsP","pGlu","MMP_2019","SE"
"35","dtbsP_4hpfe_6_S49","tbsP","pGlu","MMP_2019","SE"
"36","dtrmB_4hmfe_1_S24","trmB","mGlu","MMP_2019","SE"
"37","dtrmB_4hmfe_5_S30","trmB","mGlu","MMP_2019","SE"
"38","dtrmB_4hmfe_6_S36","trmB","mGlu","MMP_2019","SE"
"39","dtrmB_4hpfe_1_S21","trmB","pGlu","MMP_2019","SE"
"40","dtrmB_4hpfe_5_S27","trmB","pGlu","MMP_2019","SE"
"41","dtrmB_4hpfe_6_S33","trmB","pGlu","MMP_2019","SE"
