locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,acc,old_locus_tag,annotation
HVO_RS04710,10236.781321646824,-0.11856476498741818,0.20517211800036247,-0,1,1,WP_004044954.1,HVO_0001,ORC1-type DNA replication protein
HVO_RS04715,9220.483639576487,-0.2845186062686572,0.13227932626174285,-0,1,1,WP_004044955.1,HVO_0002,S26 family signal peptidase
HVO_RS04720,14404.378757387738,0.11124217005094932,0.1935137876162881,0,1,1,WP_004044956.1,HVO_0003,DNA-directed DNA polymerase II small subunit
HVO_RS04725,2484.1166911416185,-0.09683696345262921,0.16868856539489532,-0,1,1,WP_004044957.1,HVO_0004,NADH:flavin oxidoreductase
HVO_RS04730,2482.7443713400176,-0.4624897536466131,0.10404018760113114,-0,1,1,WP_013035623.1,HVO_0005,ZIP family metal transporter
HVO_RS04735,1867.2525443242967,-0.3362250282223286,0.25498321413434466,-0,1,1,WP_004044961.1,HVO_0006,hypothetical protein
HVO_RS04740,5535.646968026836,-0.029238243348404407,0.16151931494906735,-0,1,1,WP_004044963.1,HVO_0008,aspartate kinase
HVO_RS04745,2332.587789950551,-0.2344733899958794,0.28966490762949804,-0,1,1,WP_004044965.1,HVO_0009,tryptophanase
HVO_RS04750,2468.222595180836,-0.1673561077976259,0.242008751601631,-0,1,1,WP_004044967.1,HVO_0010,metallophosphoesterase family protein
HVO_RS04755,3919.851971150917,0.14219025061584528,0.6484886356965899,0,1,1,WP_004044970.1,HVO_0011,IMP cyclohydrolase
HVO_RS04760,631.3254251112313,0.08763068284639124,0.4841688804601172,0,1,1,NA,"HVO_3065,HVO_3066",tRNA-Gln
HVO_RS04765,1702.7561349293683,-0.07488061523583661,0.24906550942135555,-0,1,1,WP_004044972.1,HVO_0013,KEOPS complex subunit Cgi121
HVO_RS04770,9439.641684138232,0.0076785260357674,0.23428647532951052,0,1,1,WP_004044974.1,HVO_0014,ATP-dependent DNA helicase
HVO_RS04775,2122.3377457646143,-0.1560296599918962,0.10438133993621326,-0,1,1,WP_004044976.1,HVO_0015,ferredoxin
HVO_RS04780,14638.073702398053,-0.10719987749576086,0.18517833319029187,-0,1,1,WP_004044977.1,HVO_0016,hypothetical protein
HVO_RS04785,6977.684828358561,-0.1007972564980419,0.12164408810057345,-0,1,1,WP_004044979.1,HVO_0017,hypothetical protein
HVO_RS04790,1424.9702346268625,-0.28070399164975396,0.23045349915023708,-0,1,1,WP_004044988.1,HVO_0018,DUF2391 family protein
HVO_RS04795,4481.155294507719,0.05396635042072195,0.13271328461180718,0,1,1,WP_004044996.1,HVO_0019,class I SAM-dependent methyltransferase
HVO_RS04800,3339.2804731640203,-0.03876729074668944,0.16258131938094145,-0,1,1,WP_004045000.1,HVO_0020,ABC transporter ATP-binding protein
HVO_RS04805,2760.094501445551,-0.25362942329727867,0.332271567642091,-0,1,1,WP_004045002.1,HVO_0021,iron ABC transporter permease
HVO_RS04810,731.343217488945,-0.02390220273663305,0.2811871048168181,-0,1,1,WP_004045003.1,HVO_0022,thiamine ABC transporter substrate-binding protein
HVO_RS04815,499.14071866377134,-0.3646740888837471,0.13738841208177477,-0,1,1,WP_004045004.1,HVO_0023,AI-2E family transporter
HVO_RS04820,4062.567235259914,0.1187411226292865,0.20694316366678486,0,1,1,WP_004045005.1,HVO_0024,rhodanese-like domain-containing protein
HVO_RS04825,20861.19159495116,-0.21350290869835087,0.21881900770085816,-0,1,1,WP_004045008.1,HVO_0025,sulfurtransferase
HVO_RS04830,1776.2703040244792,-2.0447030078287485,0.5568344869586355,-1.8761463815483008,0.06063518230564195,1,WP_004045012.1,HVO_0026,TIGR00366 family protein
HVO_RS04835,3568.3588014907573,-0.3311764893995143,0.1394369154482063,-0,1,1,WP_004045014.1,HVO_0027,hypothetical protein
HVO_RS04840,2691.9608013867614,-0.4189838883899944,0.19102680759586285,-0,1,1,WP_004045016.1,HVO_0028,hypothetical protein
HVO_RS04845,7144.013009048419,-0.016061438056566478,0.12146953919896095,-0,1,1,WP_004045019.1,HVO_0029,excinuclease ABC subunit UvrB
HVO_RS04850,1058.6213041481278,-0.1756926655362259,0.19967038163447098,-0,1,1,WP_004045021.1,HVO_0030,NUDIX hydrolase
HVO_RS04855,715.5758216931433,0.05691819958830102,0.4042430114770683,0,1,1,WP_004045023.1,HVO_0032,sulfite exporter TauE/SafE family protein
HVO_RS04860,610.5459799372229,0.037734883740862944,0.2732016309862787,0,1,1,WP_004045027.1,HVO_0033,universal stress protein
HVO_RS04865,4272.170488533714,2.94461803560807,0.23358843494190903,8.324975661109574,8.434607050664202e-17,2.7946664694534053e-14,WP_004045032.1,HVO_0034,acyl-CoA thioesterase
HVO_RS04870,8948.844961865798,-0.23594023932755212,0.3783498055032118,-0,1,1,WP_004045034.1,HVO_0035,SPFH domain-containing protein
HVO_RS04875,787.0405614668618,0.17788774545017788,0.2830912475611492,0,1,1,WP_004045037.1,HVO_0036,hypothetical protein
HVO_RS04880,4922.589506460657,-0.022030003081285766,0.1924562433546062,-0,1,1,WP_004045040.1,HVO_0037,2'-5' RNA ligase family protein
HVO_RS04885,2030.183923183179,-0.34838910309753557,0.1442034305240584,-0,1,1,WP_004045041.1,HVO_0038,cytochrome P450
HVO_RS04890,12022.1555850111,-0.1977488558397786,0.10626174140541869,-0,1,1,WP_004045042.1,HVO_0039,ATP-dependent DNA helicase
