locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,acc,old_locus_tag,annotation
HVO_RS04710,10236.781321646824,0.7075017977084818,0.2970491815808244,0,1,1,WP_004044954.1,HVO_0001,ORC1-type DNA replication protein
HVO_RS04715,9220.483639576487,0.10230240291812827,0.1654790970368538,0,1,1,WP_004044955.1,HVO_0002,S26 family signal peptidase
HVO_RS04720,14404.378757387738,0.26498432744300227,0.22219659690825694,0,1,1,WP_004044956.1,HVO_0003,DNA-directed DNA polymerase II small subunit
HVO_RS04725,2484.1166911416185,-0.05500555555011891,0.19359028314355675,-0,1,1,WP_004044957.1,HVO_0004,NADH:flavin oxidoreductase
HVO_RS04730,2482.7443713400176,-0.4194733186973958,0.17125337381289654,-0,1,1,WP_013035623.1,HVO_0005,ZIP family metal transporter
HVO_RS04735,1867.2525443242967,-0.7657613461812968,0.22487192182451674,-0,1,1,WP_004044961.1,HVO_0006,hypothetical protein
HVO_RS04740,5535.646968026836,-0.6015298161239799,0.28415598024534333,-0,1,1,WP_004044963.1,HVO_0008,aspartate kinase
HVO_RS04745,2332.587789950551,-0.9115316525906718,0.2760859173513701,-0,1,1,WP_004044965.1,HVO_0009,tryptophanase
HVO_RS04750,2468.222595180836,-0.8424576442173444,0.24856221040136697,-0,1,1,WP_004044967.1,HVO_0010,metallophosphoesterase family protein
HVO_RS04755,3919.851971150917,3.4995640660746328,0.6249582856150009,3.999569449047138,6.34578244167593e-5,0.0030398591551931927,WP_004044970.1,HVO_0011,IMP cyclohydrolase
HVO_RS04760,631.3254251112313,2.4837875523144493,0.4752934983545911,3.1218343138526894,0.0017972805689686739,0.056267618442672813,NA,"HVO_3065,HVO_3066",tRNA-Gln
HVO_RS04765,1702.7561349293683,0.1369912044113176,0.3813012412451873,0,1,1,WP_004044972.1,HVO_0013,KEOPS complex subunit Cgi121
HVO_RS04770,9439.641684138232,0.264430070968795,0.23456323121867015,0,1,1,WP_004044974.1,HVO_0014,ATP-dependent DNA helicase
HVO_RS04775,2122.3377457646143,0.12566851184423386,0.16891885959408276,0,1,1,WP_004044976.1,HVO_0015,ferredoxin
HVO_RS04780,14638.073702398053,-0.4761472298526987,0.29781228787364333,-0,1,1,WP_004044977.1,HVO_0016,hypothetical protein
HVO_RS04785,6977.684828358561,-0.4128024266915973,0.19090169831761528,-0,1,1,WP_004044979.1,HVO_0017,hypothetical protein
HVO_RS04790,1424.9702346268625,0.10319768435102855,0.23393161859872416,0,1,1,WP_004044988.1,HVO_0018,DUF2391 family protein
HVO_RS04795,4481.155294507719,0.08813650164620482,0.2068179147807689,0,1,1,WP_004044996.1,HVO_0019,class I SAM-dependent methyltransferase
HVO_RS04800,3339.2804731640203,-0.12328355740246842,0.2543419662038603,-0,1,1,WP_004045000.1,HVO_0020,ABC transporter ATP-binding protein
HVO_RS04805,2760.094501445551,0.7082121947379364,0.3594362200283305,0,1,1,WP_004045002.1,HVO_0021,iron ABC transporter permease
