"","deltadelta_a_glu_S16","deltadelta_a_noglu_S35","deltadelta_b_glu_S53","deltadelta_b_noglu_S36","deltadelta_c_glu_S43","deltadelta_d_glu_S44","deltadelta_d_noglu_S5","tbsP_a_glu_S33","tbsP_a_noglu_S24","tbsP_b_glu_S2","tbsP_b_noglu_S30","tbsP_c_glu_S51","tbsP_c_noglu_S15","tbsP_d_glu_S52","tbsP_d_noglu_S31","trmB_a_glu_S4","tbsP_e_noglu_S50","tbsP_e_glu_S3","trmB_a_noglu_S32","trmB_b_noglu_S25","trmB_c_glu_S34","trmB_c_noglu_S1","WT_a_glu_S39","WT_a_noglu_S37","WT_b_glu_S13","WT_b_noglu_S17","WT_c_glu_S18","WT_c_noglu_S6","WT_d_glu_S19","WT_d_noglu_s38","dpyrE2_4hpfe_2_S2","dpyrE2_4hpfe_4_S16","dtbsP_4hpfe_2_S38","dtbsP_4hpfe_5_S43","dtbsP_4hpfe_6_S49","dtrmB_4hmfe_1_S24","dtrmB_4hmfe_5_S30","dtrmB_4hmfe_6_S36","dtrmB_4hpfe_1_S21","dtrmB_4hpfe_5_S27","dtrmB_4hpfe_6_S33"
"HVO_RS04710",13.2281335432635,12.4339204402274,13.4470275394946,12.2506004002489,13.5316220291068,13.4510237783618,12.6278151165049,13.816785829624,13.304005534327,13.4755625092419,13.1375785017848,13.243718185623,12.9258801985894,13.3892018561627,12.898588218871,13.56736222887,13.1250944585134,13.4040720349428,13.292367979649,13.1589065725584,13.1542507418739,13.1090376025771,13.2889362695851,12.7669924839707,13.0154593720994,12.6275902802877,13.183000790556,13.6972083700185,12.9306027256658,12.8654780796188,13.9631193144184,14.0093345773373,13.5867026244816,13.6774404209652,13.455384153686,12.7995914930069,12.9083956897683,12.9927592735121,14.1500708639777,13.8295987138201,13.8852120523171
"HVO_RS04715",13.1868448506311,12.8043713166683,13.1666948479856,12.6681073380386,13.2485432816969,13.1998075880811,12.7290242525891,13.5578956717272,13.0477246209442,13.3027330988072,12.9178946146772,12.8905972717575,12.7812139028556,13.2035193743852,12.9588747875964,13.7482756526587,12.9488727897212,13.4088141188122,13.184673913494,13.1376174828,13.3869187699981,13.2081360602111,13.3445702325538,12.8998562372997,13.2429645460678,12.9613902241876,13.5435814311744,13.3363748148378,13.3130945452371,13.1360676709473,13.4395615312685,13.4461089320508,13.1107164753433,13.0834701448608,13.1960486219361,12.8634699705559,12.8926116853896,12.6729282397903,13.3831846467249,13.3143089706042,13.2458089826135
"HVO_RS04720",14.0557484706627,13.6906800593042,14.1625133360848,13.2615309699859,14.31295603013,14.2931119926106,13.3771998389312,14.4040959066549,13.4085171174499,14.1628162882748,13.3694104928042,13.9075885577431,13.3644498362877,14.0360152130045,13.3738306265641,14.2989564962611,13.4261994179793,14.1138717792525,14.1046867669629,14.0840204753418,13.9927314330875,13.9657081916536,14.1534271356972,13.4845220288081,13.741091034169,13.3222763926489,13.8640948260494,13.8662077221307,13.8668053588389,13.4498593057849,13.798333786398,13.8076699479783,13.7722843825416,13.7767966513346,13.6005643373735,12.995957602022,12.9845011661933,13.0336349576139,13.8848905234491,13.9330516748694,13.9753905035813
"HVO_RS04725",11.5135082486087,10.7904099972416,11.5112901474901,11.0867935012995,11.2873043048226,11.3332791238959,10.9675077194846,11.571613417591,10.9727643891885,11.5728221122128,10.8509319383926,11.2844690272797,11.0546323719119,11.2632455362036,10.5455425441784,11.8077524860515,10.7259068120984,11.4592150649925,10.886341932179,11.3685382621367,11.5580970602302,11.2550589129581,11.5507840684838,10.9053210505175,11.4464033345361,10.7148185914471,11.5961166741456,11.3521873783601,11.6178067678669,11.0441571217643,11.4029034738022,11.4545138430556,11.4368942654531,11.4181158883212,11.2259534551897,11.0641759829035,11.080201986054,10.773502533955,11.071333795751,11.625080903446,11.6745728082773
"HVO_RS04730",11.0976229199069,11.4000479060347,11.002186187408,11.2724347099169,10.8335852307432,10.9032574601031,11.1274279705403,11.0886334655098,11.3918429504569,11.1093713297931,11.3617732257467,10.9594260637032,11.428369031217,11.0308712217663,11.4505870260023,11.4670954513413,11.4256362752793,11.0877391794144,11.3172776724756,11.3993136136609,11.5509079351081,11.4724772516854,11.6596125921583,11.5673026243026,11.6773355106227,11.6036885003684,11.7683092742071,11.3132465029096,11.8002741896221,11.510744380513,10.9154645182514,10.9407502461812,10.730408759529,10.6684535542147,10.9754416223635,11.5076618982163,11.4207796551258,11.0781172837578,10.8608857421131,10.9866088929464,11.0534284064159
"HVO_RS04735",10.3663172180388,11.6377555323039,10.0345930229663,11.2581116417643,10.1096960262351,10.1169022078643,11.2730400233022,10.4035740959799,11.0361528338462,10.3034554099425,10.8746036339934,10.249138001144,11.0848694633942,10.2256149579404,11.0502636759684,10.806927890181,11.0331718447766,10.2315390345888,11.8362017752066,11.8508619025277,10.6292984777397,11.9865522812186,11.0062410006765,11.60047473913,11.0418838941353,11.5400847519387,11.2372786518048,11.0524974518452,11.1563547555611,11.4033249655258,9.53908176332614,9.6103243372844,9.82637195184084,9.55985510388114,9.70998862745067,11.2165035142906,11.0970680563599,10.510980732824,9.71726103394834,9.85538974755451,9.84393550007266
"HVO_RS04740",12.7273522576424,13.0283450632515,12.3670133720149,12.6846636140314,12.3358388951926,12.2535808888227,12.7770850888338,12.0018672758757,12.3359287198315,12.1834248968798,12.2588420325343,12.4142463952404,12.5535785379401,12.330453834836,12.4895151265183,12.7192188568006,12.3376046270358,12.3069842213098,12.6088783497815,12.8123030544337,12.9151628997818,12.6588807753536,13.0001460252163,12.8823591397488,12.8736642425103,12.5445581804233,12.8475664656768,12.1092818363204,12.9833549929401,12.5564583204196,11.3973331261356,11.377170164089,11.7353557003877,11.5261473889434,11.4122209728386,12.660400823025,12.6061724249208,12.4108701215326,11.6224077131305,11.6527949857124,11.557979610091
"HVO_RS04745",10.3813689439982,11.6944885526714,10.1453957299777,12.2219139053718,9.96426884559263,9.97029394182929,11.5807092016594,10.1908459480148,10.7606913966566,10.2447015473558,10.4617294736846,10.2926591122229,10.8805995261157,10.0583529239186,10.7979182497603,10.5786566718914,10.8168249618795,10.1129139655783,11.7299902170365,12.3791136693847,11.1346955970995,12.2459416992777,10.734014468389,12.0084750245254,10.9036805268813,11.9483554809783,10.9855407930573,11.075613798026,11.2498062851516,11.8327497899584,11.0719067820122,11.1552308742396,10.7623330567346,10.7356001140768,10.7430012343593,11.8297790371633,11.7670854624766,11.7582258826421,11.1490508405809,10.9665049303078,10.8614878086073
"HVO_RS04750",10.8448105471804,11.8193165639967,10.6244101735401,11.6618957392274,10.3107067225014,10.4932914841487,11.7751407191212,10.6808158821263,11.209711891544,10.6743591082551,11.1665194124587,10.587306334514,11.300905477325,10.5333507287623,11.41031432724,10.9575404613758,11.3750152673228,10.6939142935895,12.3517601394143,12.5818697225053,11.0363120425914,12.5167014887573,11.1618906157018,11.8179597020395,11.4067705536021,11.7275286164485,11.3584144533279,10.9627192529588,11.3953852592415,11.5032363590662,10.5032713018089,10.5584771078031,10.6449190784446,10.6507624961602,10.487259035019,11.4085217513273,11.4604231138507,11.4605858457505,10.9095494908603,10.4444653824428,10.4735816917267
"HVO_RS04755",11.6927939845916,8.84640886638059,11.4889940732006,8.53595870480484,12.0081670579164,11.7902922752692,8.7275662968273,12.401186770332,10.5289428197722,11.9398730442589,10.1852668989736,11.5758698558239,10.2587581995585,11.778573451707,10.2104320280363,11.9678303844212,10.143543080734,12.1337135305185,9.08015668765051,8.41326149657122,11.023672873225,8.53639596167525,10.7075579432402,10.5222213298069,11.6752520805424,10.9140996924455,10.6736855232595,11.8056857093209,10.3653025816118,10.9806940537078,11.8225261473692,11.8794469387225,14.3912146742401,14.4505604958634,13.337091172748,6.97769713404411,7.17657762433532,8.75322246783914,12.9174722318142,13.4145099272435,13.7590107353061
