"","deltadelta_a_glu_S16","deltadelta_a_noglu_S35","deltadelta_b_glu_S53","deltadelta_b_noglu_S36","deltadelta_c_glu_S43","deltadelta_d_glu_S44","deltadelta_d_noglu_S5","tbsP_a_glu_S33","tbsP_a_noglu_S24","tbsP_b_glu_S2","tbsP_b_noglu_S30","tbsP_c_glu_S51","tbsP_c_noglu_S15","tbsP_d_glu_S52","tbsP_d_noglu_S31","trmB_a_glu_S4","tbsP_e_noglu_S50","tbsP_e_glu_S3","trmB_a_noglu_S32","trmB_b_noglu_S25","trmB_c_glu_S34","trmB_c_noglu_S1","WT_a_glu_S39","WT_a_noglu_S37","WT_b_glu_S13","WT_b_noglu_S17","WT_c_glu_S18","WT_c_noglu_S6","WT_d_glu_S19","WT_d_noglu_s38","dpyrE2_4hpfe_2_S2","dpyrE2_4hpfe_4_S16","dtbsP_4hpfe_2_S38","dtbsP_4hpfe_5_S43","dtbsP_4hpfe_6_S49","dtrmB_4hmfe_1_S24","dtrmB_4hmfe_5_S30","dtrmB_4hmfe_6_S36","dtrmB_4hpfe_1_S21","dtrmB_4hpfe_5_S27","dtrmB_4hpfe_6_S33"
"HVO_RS04710",9594.44196683331,5532.28469982871,11166.5689336878,4872.01990505444,11840.9744779894,11197.5457781475,6328.23367012203,14429.0215070153,10112.5756723169,11389.6504251472,9010.66833156423,9698.658139259,7780.75691250846,10727.8056127776,7634.93030096068,12138.0022782348,8933.02427004302,10838.9616703627,10031.3222850456,9144.88188751292,9115.41409224468,8834.14197364339,10007.4869586622,6969.23935906579,8279.25436620171,6327.24737015221,9298.90839686534,13281.2171507835,7806.271501856,7461.67984649679,15969.4718151017,16489.3520363785,12301.8302592106,13100.4640838291,11231.4432595526,7128.53116293142,7687.01635443033,8149.98826285024,18179.0791987633,14557.748403531,15129.9196105576
"HVO_RS04715",9323.721039192,7152.19133731826,9194.38871889621,6507.49082618268,9731.15297200169,9407.88197994059,6788.19238709741,12058.6103344589,8466.52497101687,10103.6595818446,7737.80243872561,7592.75254488987,7038.2885154458,9432.12045238611,7960.77721593913,13759.7897739286,7905.77025401716,10874.6508354825,9309.69994717157,9010.91182635399,10710.8405470488,9462.35519165734,10400.9777204563,7641.64464903962,9693.59252466374,7974.67122322455,11939.5480198427,10342.0554429485,10176.4925519245,9001.23599870532,11108.925571326,11159.4604690643,8844.4294653477,8678.94475367782,9383.39888941373,7451.29965531787,7603.36299452879,6529.27594128913,10683.1509719764,10185.0633228281,9712.72536606516
"HVO_RS04720",17028.5001673472,13221.2498341849,18336.5507234032,9819.16105330402,20352.0308879431,20073.9947863355,10638.9211498748,21679.2820729285,10872.4121429218,18340.401838382,10581.6292812737,15366.4328196795,10545.3037678491,16797.1555586837,10614.1020950494,20155.4855746159,11006.5014813679,17728.5927732633,17616.0747186894,17365.5128743709,16300.6619411512,15998.1561237863,18221.4223925926,11460.6095003827,13691.431421202,10241.4724557406,14910.0561415265,14931.91009758,14938.0973400085,11188.5105089321,14245.6370373608,14338.1307411372,13990.7071915007,14034.5370907697,12420.6081089174,8168.07833435626,8103.4646026358,8384.23184057587,15126.5478062397,15640.070922047,16105.8918529864
"HVO_RS04725",2922.55546885504,1770.07549737517,2918.06404206245,2173.99067656339,2498.29296038395,2579.22135623936,2001.39061559949,3042.70625584962,2008.69992590693,3045.25735141027,1845.95363967286,2493.38601162215,2126.04136101723,2456.95968236611,1493.59879008597,3583.98778027074,1692.63445822442,2814.57734013009,1891.84679755476,2643.05828105551,3014.3234688888,2443.0514033876,2999.07752902992,1916.91231837844,2789.68453811934,1679.66746967776,3094.84317119613,2613.26083875479,3141.73904326819,2110.65308135533,2706.79625512114,2805.41732345834,2771.35110754141,2735.49952032605,2394.23825858734,2140.15865222008,2164.07604962671,1749.4407741851,2150.80823151801,3157.62489482164,3267.8621150987
"HVO_RS04730",2190.37841455241,2701.44193687853,2050.10578864217,2472.66549890558,1823.87917445267,1914.17095158895,2236.12161372535,2176.76635535978,2686.11611819208,2208.29649336343,2630.68887688543,1990.20502889678,2755.01692258957,2091.29595797727,2797.78902860811,2829.99885683414,2749.80141079648,2175.41683752995,2550.76131195043,2700.06681771888,2999.33512014847,2840.57927982733,3234.14036238632,3033.62519222448,3274.12785054159,3111.13407664868,3487.30210299034,2543.64114845592,3565.45286064262,2916.95997820066,1930.44451502471,1964.59482093399,1697.92771970858,1626.51322830197,2012.43282200198,2910.73207998954,2740.55681242643,2160.94976208147,1858.74066678979,2028.07839849296,2124.2670316749
"HVO_RS04735",1318.99542870694,3185.49687885026,1047.8502696497,2448.22846798667,1103.89688947198,1109.42959436356,2473.70359563413,1353.52761968767,2098.96975454284,1262.71499093509,1876.50838300213,1216.02070825297,2171.09195220423,1196.33816677901,2119.6101045766,1790.46965376724,2094.63514205272,1201.26485323708,3655.38374091535,3692.72796236982,1582.93616418719,4056.99755698443,2055.8786992613,3104.20917293996,2107.32840903679,2976.91064938425,2413.11494053637,2122.89606360621,2281.42977237765,2707.58746907507,742.960267404107,780.620414038122,906.888899332623,753.750032627744,836.525105851944,2378.60024119025,2189.53576785761,1458.21902890459,840.757601377839,925.334700382251,918.009203953901
"HVO_RS04740",6780.32868774368,8353.54221640321,5281.53011703974,6582.61206937784,5168.60700467943,4882.09756716736,7018.1717455851,4100.30487284696,5168.92888319545,4650.32133758351,4899.93749731493,5457.33942375599,6010.78849337309,5149.34669413326,5749.67315001391,6742.20553504292,5174.93802249389,5066.23921223417,6245.69921844443,7191.62690008419,7723.16303147615,6465.9994634607,8191.82921135765,7549.51397947415,7504.14506632611,5973.31743904154,7369.60058776493,4417.31890041254,8097.02843191099,6022.80068803801,2696.36141990479,2658.92557480851,3408.52654180305,2948.28063001522,2724.3408756351,6472.81679326345,6233.99386396668,5444.58045524433,3151.77765238269,3218.88843360557,3014.07800069506
"HVO_RS04745",1332.83911250678,3313.3001638593,1131.57881176569,4776.08193181725,997.950129182098,1002.1307467335,3061.95658284024,1167.82720524777,1733.96566484111,1212.28397747224,1409.24438135704,1253.29337364003,1884.32761214852,1065.26692310539,1779.31677464836,1528.30099844831,1802.80161477265,1106.36411871396,3395.86982528953,5326.02253777539,2247.41962500853,4856.30949697779,1702.17913809806,4119.13251670157,1914.73265312257,3950.96781148756,2026.57672538561,2157.20141824623,2434.16917234324,3646.64544617449,2151.66302161133,2279.65241734526,1735.94102686624,1704.0521072565,1712.8216113482,3639.14205605086,3484.34429502922,3463.00640583564,2269.90374334894,1999.99927655033,1859.51693701925
"HVO_RS04750",1838.13357120093,3612.83911309923,1577.57837274001,3239.26420958384,1269.08269852609,1440.43641676947,3503.85906919056,1640.51916927662,2367.42437535573,1633.1889744506,2297.56765083223,1537.4974472164,2521.96674894913,1481.02156864338,2720.74148220926,1987.60422404581,2654.95551443046,1655.49059112551,5225.97353511175,6129.84290472891,2099.20150968748,5859.06718101633,2290.20465853194,3609.4418770087,2714.06411861929,3390.07885286302,2624.56910637376,1994.75547421553,2692.72201204404,2901.81388179583,1450.44209507262,1507.05894843864,1600.1792155889,1606.67770112756,1434.42181383804,2717.36176698324,2816.93596711913,2817.25384021364,1922.54183384207,1392.4691836097,1420.87772693889
"HVO_RS04755",3309.40952170611,459.293055501228,2873.29828687172,370.175764660461,4118.25310159051,3540.86197179171,422.895927797613,5408.15217668311,1476.50041447086,3927.80008701006,1163.31595943857,3051.69947856588,1224.16317975442,3512.20842124167,1183.80344727394,4004.67701787553,1130.12533439208,4492.77921815003,540.252017659697,339.913399855346,2080.88241678263,370.288278910664,1671.23042649628,1469.63277742347,3269.40157432284,1928.61818393357,1632.4261602647,3578.8556737696,1318.06741235369,2019.77650292635,3620.88782007338,3766.64400295515,21486.5693314935,22388.9004906844,10347.1924741275,125.036442996554,143.665552874378,430.501710414668,7735.53705416103,10917.6731407859,13862.5656071469
