locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,acc,old_locus_tag,annotation
HVO_RS04710,10236.781321646824,0.07082002942950653,0.17090896851359128,0,1,1,WP_004044954.1,HVO_0001,ORC1-type DNA replication protein
HVO_RS04715,9220.483639576487,-0.15694334772632643,0.11020051523893408,-0,1,1,WP_004044955.1,HVO_0002,S26 family signal peptidase
HVO_RS04720,14404.378757387738,0.03363380878511901,0.16121621787372703,0,1,1,WP_004044956.1,HVO_0003,DNA-directed DNA polymerase II small subunit
HVO_RS04725,2484.1166911416185,-0.12273825555850552,0.1405699568749614,-0,1,1,WP_004044957.1,HVO_0004,NADH:flavin oxidoreductase
HVO_RS04730,2482.7443713400176,-0.33045003231834164,0.08674994945694624,-0,1,1,WP_013035623.1,HVO_0005,ZIP family metal transporter
HVO_RS04735,1867.2525443242967,-0.4472687081933188,0.21260296431229506,-0,1,1,WP_004044961.1,HVO_0006,hypothetical protein
HVO_RS04740,5535.646968026836,-0.31486621253997993,0.13464192293123145,-0,1,1,WP_004044963.1,HVO_0008,aspartate kinase
HVO_RS04745,2332.587789950551,-0.8080299940837916,0.24139323599035561,-0,1,1,WP_004044965.1,HVO_0009,tryptophanase
HVO_RS04750,2468.222595180836,-0.3211182718039134,0.20171446959087827,-0,1,1,WP_004044967.1,HVO_0010,metallophosphoesterase family protein
HVO_RS04755,3919.851971150917,0.6655712239754139,0.5401736210240865,0,1,1,WP_004044970.1,HVO_0011,IMP cyclohydrolase
HVO_RS04760,631.3254251112313,0.21322825055382708,0.4042460333980162,0,1,1,NA,"HVO_3065,HVO_3066",tRNA-Gln
HVO_RS04765,1702.7561349293683,0.008940707398889773,0.2074729464798159,0,1,1,WP_004044972.1,HVO_0013,KEOPS complex subunit Cgi121
HVO_RS04770,9439.641684138232,0.1172731648503684,0.1951838212093961,0,1,1,WP_004044974.1,HVO_0014,ATP-dependent DNA helicase
HVO_RS04775,2122.3377457646143,-0.14993535074867484,0.08711971345104688,-0,1,1,WP_004044976.1,HVO_0015,ferredoxin
HVO_RS04780,14638.073702398053,-0.04562166083855189,0.15427870650776157,-0,1,1,WP_004044977.1,HVO_0016,hypothetical protein
HVO_RS04785,6977.684828358561,-0.1593560911222709,0.10136138344308777,-0,1,1,WP_004044979.1,HVO_0017,hypothetical protein
HVO_RS04790,1424.9702346268625,-0.10280002500928723,0.19197893796257418,-0,1,1,WP_004044988.1,HVO_0018,DUF2391 family protein
HVO_RS04795,4481.155294507719,0.06486366199610658,0.11062102882538748,0,1,1,WP_004044996.1,HVO_0019,class I SAM-dependent methyltransferase
HVO_RS04800,3339.2804731640203,-0.11702512034408916,0.13545133284373737,-0,1,1,WP_004045000.1,HVO_0020,ABC transporter ATP-binding protein
HVO_RS04805,2760.094501445551,-0.18066606985124736,0.27677311305879243,-0,1,1,WP_004045002.1,HVO_0021,iron ABC transporter permease
HVO_RS04810,731.343217488945,0.11326565676742706,0.23433790783613917,0,1,1,WP_004045003.1,HVO_0022,thiamine ABC transporter substrate-binding protein
HVO_RS04815,499.14071866377134,-0.4483636180553016,0.11264577191307486,-0,1,1,WP_004045004.1,HVO_0023,AI-2E family transporter
HVO_RS04820,4062.567235259914,-0.19483491203656383,0.17250210196805013,-0,1,1,WP_004045005.1,HVO_0024,rhodanese-like domain-containing protein
HVO_RS04825,20861.19159495116,-0.14323761906691498,0.18228217590414164,-0,1,1,WP_004045008.1,HVO_0025,sulfurtransferase
HVO_RS04830,1776.2703040244792,-0.03731622875386132,0.4635676130109888,-0,1,1,WP_004045012.1,HVO_0026,TIGR00366 family protein
HVO_RS04835,3568.3588014907573,-0.37297719787015793,0.11616618675914829,-0,1,1,WP_004045014.1,HVO_0027,hypothetical protein
