locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,acc,old_locus_tag,annotation
HVO_RS04710,10236.781321646824,0.0747163766628578,0.2602722214791176,0,1,1,WP_004044954.1,HVO_0001,ORC1-type DNA replication protein
HVO_RS04715,9220.483639576487,-0.0024701727554575863,0.14501213570751242,-0,1,1,WP_004044955.1,HVO_0002,S26 family signal peptidase
HVO_RS04720,14404.378757387738,0.27861237805638206,0.19476048059936207,0,1,1,WP_004044956.1,HVO_0003,DNA-directed DNA polymerase II small subunit
HVO_RS04725,2484.1166911416185,0.12231235160571693,0.16979556961232134,0,1,1,WP_004044957.1,HVO_0004,NADH:flavin oxidoreductase
HVO_RS04730,2482.7443713400176,-0.4282275771723944,0.15012958336927235,-0,1,1,WP_013035623.1,HVO_0005,ZIP family metal transporter
HVO_RS04735,1867.2525443242967,-0.11900413961074686,0.197539364775137,-0,1,1,WP_004044961.1,HVO_0006,hypothetical protein
HVO_RS04740,5535.646968026836,-0.2960121448975668,0.2491797092076228,-0,1,1,WP_004044963.1,HVO_0008,aspartate kinase
HVO_RS04745,2332.587789950551,0.45162965622205736,0.24209657061663398,0,1,1,WP_004044965.1,HVO_0009,tryptophanase
HVO_RS04750,2468.222595180836,-0.10952562737161638,0.2180559606141854,-0,1,1,WP_004044967.1,HVO_0010,metallophosphoesterase family protein
HVO_RS04755,3919.851971150917,2.7284409173802255,0.5470001592695221,3.159854504774605,0.0015784794194799111,0.07014236750072954,WP_004044970.1,HVO_0011,IMP cyclohydrolase
HVO_RS04760,631.3254251112313,0.941908820651652,0.41607062607305184,0,1,1,NA,"HVO_3065,HVO_3066",tRNA-Gln
HVO_RS04765,1702.7561349293683,-0.4184677501392619,0.3340516783952746,-0,1,1,WP_004044972.1,HVO_0013,KEOPS complex subunit Cgi121
HVO_RS04770,9439.641684138232,-0.05171258259698744,0.20559126754877066,-0,1,1,WP_004044974.1,HVO_0014,ATP-dependent DNA helicase
HVO_RS04775,2122.3377457646143,0.22083750347820452,0.14829751953015957,0,1,1,WP_004044976.1,HVO_0015,ferredoxin
HVO_RS04780,14638.073702398053,-0.06012068396444902,0.261020188937617,-0,1,1,WP_004044977.1,HVO_0016,hypothetical protein
HVO_RS04785,6977.684828358561,-0.025521723839677046,0.16736111846764112,-0,1,1,WP_004044979.1,HVO_0017,hypothetical protein
HVO_RS04790,1424.9702346268625,-0.08170610050430413,0.2048674670773327,-0,1,1,WP_004044988.1,HVO_0018,DUF2391 family protein
HVO_RS04795,4481.155294507719,0.1663015807637488,0.18136671474052873,0,1,1,WP_004044996.1,HVO_0019,class I SAM-dependent methyltransferase
HVO_RS04800,3339.2804731640203,0.1672511052452531,0.22295647249279865,0,1,1,WP_004045000.1,HVO_0020,ABC transporter ATP-binding protein
HVO_RS04805,2760.094501445551,-0.07373096821395574,0.3147588211416088,-0,1,1,WP_004045002.1,HVO_0021,iron ABC transporter permease
HVO_RS04810,731.343217488945,0.6951165708833934,0.22292840878433276,0,1,1,WP_004045003.1,HVO_0022,thiamine ABC transporter substrate-binding protein
HVO_RS04815,499.14071866377134,-0.2963000481588716,0.21694418536080093,-0,1,1,WP_004045004.1,HVO_0023,AI-2E family transporter
HVO_RS04820,4062.567235259914,-0.5598923611165052,0.23970831597773326,-0,1,1,WP_004045005.1,HVO_0024,rhodanese-like domain-containing protein
HVO_RS04825,20861.19159495116,0.3140491713008007,0.3692274004862948,0,1,1,WP_004045008.1,HVO_0025,sulfurtransferase
HVO_RS04830,1776.2703040244792,-2.5479621764845746,0.363439205201017,-4.259205265508991,2.0515501231494433e-5,0.0029132011748722094,WP_004045012.1,HVO_0026,TIGR00366 family protein
HVO_RS04835,3568.3588014907573,-0.1616824552951031,0.1912721497656082,-0,1,1,WP_004045014.1,HVO_0027,hypothetical protein
HVO_RS04840,2691.9608013867614,-0.07305958391239603,0.2642565754718364,-0,1,1,WP_004045016.1,HVO_0028,hypothetical protein
HVO_RS04845,7144.013009048419,0.001220400104853303,0.10903460200260669,0,1,1,WP_004045019.1,HVO_0029,excinuclease ABC subunit UvrB
HVO_RS04850,1058.6213041481278,-0.1252966378568133,0.11287318858650634,-0,1,1,WP_004045021.1,HVO_0030,NUDIX hydrolase
HVO_RS04855,715.5758216931433,0.7033941672437428,0.32059666729193625,0,1,1,WP_004045023.1,HVO_0032,sulfite exporter TauE/SafE family protein
HVO_RS04860,610.5459799372229,1.0783081929018343,0.4252535786284703,0.18414470056758664,0.8538999400468775,1,WP_004045027.1,HVO_0033,universal stress protein
HVO_RS04865,4272.170488533714,-0.12653145197279012,0.3368249960050275,-0,1,1,WP_004045032.1,HVO_0034,acyl-CoA thioesterase
HVO_RS04870,8948.844961865798,-0.7635568732600106,0.2488585234259935,-0,1,1,WP_004045034.1,HVO_0035,SPFH domain-containing protein
HVO_RS04875,787.0405614668618,-1.4102739877870778,0.3877613383264661,-1.0580580043327006,0.290028998816242,1,WP_004045037.1,HVO_0036,hypothetical protein
HVO_RS04880,4922.589506460657,-0.6929963097501125,0.2345372036373476,-0,1,1,WP_004045040.1,HVO_0037,2'-5' RNA ligase family protein
HVO_RS04885,2030.183923183179,-0.7695584623348615,0.19894751205622555,-0,1,1,WP_004045041.1,HVO_0038,cytochrome P450
HVO_RS04890,12022.1555850111,-0.06463163748236458,0.12959981804190623,-0,1,1,WP_004045042.1,HVO_0039,ATP-dependent DNA helicase
HVO_RS04895,911.8149030220513,2.191403515539227,0.8395387264695884,1.4191168054263483,0.1558649652201729,1,WP_004045043.1,HVO_0040,hypothetical protein
HVO_RS04900,15323.480290136515,-0.025562799926927764,0.35040527914770164,-0,1,1,WP_004045044.1,HVO_0041,ornithine carbamoyltransferase
HVO_RS04905,21024.58958166075,-0.045198570665812926,0.3656564029182916,-0,1,1,WP_004045045.1,HVO_0042,[LysW]-lysine hydrolase
HVO_RS04910,26071.532960112214,0.036552091221598464,0.345374871982865,0,1,1,WP_004045048.1,HVO_0043,acetylornithine/succinylornithine family transaminase
HVO_RS04915,23761.665115554013,0.24036222324584666,0.33808367109986615,0,1,1,WP_004045050.1,HVO_0044,acetylglutamate/acetylaminoadipate kinase
HVO_RS04920,48225.36874249094,0.13920766750920094,0.2789763431675382,0,1,1,WP_004045051.1,HVO_0045,N-acetyl-gamma-glutamyl-phosphate reductase
HVO_RS04925,53935.3174334033,0.1978786373569566,0.2472479477558898,0,1,1,WP_004045055.1,HVO_0046,lysine biosynthesis protein LysX
HVO_RS04930,10042.131217830281,0.20319975436964519,0.3179080281722545,0,1,1,WP_004045057.1,HVO_0047,lysine biosynthesis protein LysW
HVO_RS04935,42992.78333743891,0.2786818351368448,0.18241170281949998,0,1,1,WP_004045061.1,HVO_0048,argininosuccinate lyase
HVO_RS04940,46677.98634422628,0.20050768683769007,0.15210957926576738,0,1,1,WP_004045062.1,HVO_0049,argininosuccinate synthase
