locus_tag,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,acc,old_locus_tag,annotation
HVO_RS04710,10236.781321646824,0.3796988008385762,0.26869522336413343,0,1,1,WP_004044954.1,HVO_0001,ORC1-type DNA replication protein
HVO_RS04715,9220.483639576487,0.07528066036297569,0.14974875605490767,0,1,1,WP_004044955.1,HVO_0002,S26 family signal peptidase
HVO_RS04720,14404.378757387738,0.0280282277292467,0.20107269236543146,0,1,1,WP_004044956.1,HVO_0003,DNA-directed DNA polymerase II small subunit
HVO_RS04725,2484.1166911416185,-0.002168817787227996,0.17539418218162123,-0,1,1,WP_004044957.1,HVO_0004,NADH:flavin oxidoreductase
HVO_RS04730,2482.7443713400176,-0.2715052049628416,0.15524532299244354,-0,1,1,WP_013035623.1,HVO_0005,ZIP family metal transporter
HVO_RS04735,1867.2525443242967,-0.6912187706434451,0.20423003615466293,-0,1,1,WP_004044961.1,HVO_0006,hypothetical protein
HVO_RS04740,5535.646968026836,-0.6872524380559469,0.2572922161114925,-0,1,1,WP_004044963.1,HVO_0008,aspartate kinase
HVO_RS04745,2332.587789950551,-0.18797777916980957,0.24970874019869277,-0,1,1,WP_004044965.1,HVO_0009,tryptophanase
HVO_RS04750,2468.222595180836,-0.8002149298107454,0.22517796485454042,-0,1,1,WP_004044967.1,HVO_0010,metallophosphoesterase family protein
HVO_RS04755,3919.851971150917,4.530777884926927,0.565482780644482,6.243829177084564,4.2698630825238625e-10,4.8505644617471074e-8,WP_004044970.1,HVO_0011,IMP cyclohydrolase
HVO_RS04760,631.3254251112313,0.5243588247253408,0.4336529629143986,0,1,1,NA,"HVO_3065,HVO_3066",tRNA-Gln
HVO_RS04765,1702.7561349293683,0.8610551264681212,0.344963603358971,0,1,1,WP_004044972.1,HVO_0013,KEOPS complex subunit Cgi121
HVO_RS04770,9439.641684138232,0.647819293026972,0.2123858272258757,0,1,1,WP_004044974.1,HVO_0014,ATP-dependent DNA helicase
HVO_RS04775,2122.3377457646143,0.0716444098684342,0.15320515637851156,0,1,1,WP_004044976.1,HVO_0015,ferredoxin
HVO_RS04780,14638.073702398053,0.07362238888126717,0.2694794289692823,0,1,1,WP_004044977.1,HVO_0016,hypothetical protein
