time ,pyrE,AKS182,AKS183,AKS184,AKS185
0,0.022314286,0.018314286,0.010314286,0.018314286,0.017314286
0.5,0.023914286,0.019914286,0.010914286,0.016914286,0.016914286
1,0.025542857,0.022542857,0.010542857,0.017542857,0.018542857
1.5,0.028571429,0.024571429,0.011571429,0.018571429,0.020571429
2,0.033271429,0.028271429,0.012271429,0.019271429,0.021271429
2.5,0.039142857,0.030142857,0.013142857,0.020142857,0.023142857
3,0.044514286,0.030514286,0.013514286,0.021514286,0.023514286
3.5,0.0518,0.0338,0.0148,0.0238,0.0258
4,0.059214286,0.035214286,0.016214286,0.024214286,0.027214286
4.5,0.067185714,0.037185714,0.017185714,0.025185714,0.028185714
5,0.076114286,0.037114286,0.017114286,0.025114286,0.028114286
5.5,0.0867,0.0417,0.0177,0.0257,0.0287
6,0.096385714,0.041385714,0.019385714,0.027385714,0.030385714
6.5,0.1121,0.0431,0.0211,0.0281,0.0301
7,0.129785714,0.046785714,0.022785714,0.029785714,0.031785714
7.5,0.134085714,0.046085714,0.024085714,0.031085714,0.033085714
8,0.155471429,0.048471429,0.023471429,0.031471429,0.034471429
8.5,0.172828571,0.047828571,0.025828571,0.031828571,0.033828571
9,0.1954,0.0504,0.0264,0.0344,0.0374
9.5,0.213,0.052,0.026,0.033,0.035
10,0.238742857,0.050742857,0.025742857,0.033742857,0.034742857
10.5,0.269642857,0.052642857,0.030642857,0.036642857,0.035642857
11,0.277085714,0.049085714,0.029085714,0.038085714,0.036085714
11.5,0.289357143,0.050357143,0.031357143,0.038357143,0.034357143
12,0.314485714,0.052485714,0.032485714,0.039485714,0.034485714
12.5,0.340814286,0.053814286,0.030814286,0.037814286,0.033814286
13,0.335842857,0.041842857,0.032842857,0.037842857,0.032842857
13.5,0.369985714,0.040985714,0.032985714,0.037985714,0.032985714
14,0.396557143,0.040557143,0.033557143,0.039557143,0.036557143
14.5,0.375057143,0.043057143,0.035057143,0.039057143,0.035057143
15,0.429642857,0.044642857,0.035642857,0.040642857,0.033642857
15.5,0.431071429,0.043071429,0.033071429,0.041071429,0.033071429
16,0.453542857,0.044542857,0.033542857,0.042542857,0.034542857
16.5,0.4502,0.0462,0.0352,0.0432,0.0352
17,0.482071429,0.044071429,0.032071429,0.042071429,0.035071429
17.5,0.507185714,0.043185714,0.034185714,0.040185714,0.036185714
18,0.531357143,0.043357143,0.034357143,0.041357143,0.035357143
18.5,0.556314286,0.044314286,0.037314286,0.041314286,0.034314286
19,0.564514286,0.044514286,0.035514286,0.043514286,0.034514286
19.5,0.555957143,0.043957143,0.035957143,0.045957143,0.036957143
20,0.5797,0.0457,0.0367,0.0437,0.0357
20.5,0.578657143,0.045657143,0.040657143,0.043657143,0.035657143
21,0.582642857,0.045642857,0.040642857,0.044642857,0.036642857
21.5,0.5629,0.0449,0.0419,0.0449,0.0369
22,0.602271429,0.045271429,0.043271429,0.045271429,0.037271429
22.5,0.628,0.044,0.045,0.047,0.038
23,0.642271429,0.045271429,0.042271429,0.042271429,0.037271429
23.5,0.642428571,0.044428571,0.044428571,0.047428571,0.037428571
24,0.646785714,0.042785714,0.045785714,0.046785714,0.038785714
24.5,0.653528571,0.043528571,0.043528571,0.045528571,0.038528571
25,0.6702,0.0452,0.0422,0.0422,0.0372
