Label,Info,variable,strain,name,media,condition,techrep,biorep
,,Blank,,,,,,
,,1,blank,blank,HvCa+ura50,glu01,,
,,2,blank,blank,HvCa+ura50,,,
,,3,HV287,_trmB+p,HvCa+ura50+nov10,glu01,1,3
,,4,HV187,trmB-HA,HvCa+ura50,glu01,1,3
,,5,HV187,trmB-HA,HvCa+ura50,glu01,1,1
,,6,HV284,parent+p,HvCa+ura50+nov10,,1,3
,,7,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,1,1
,,8,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,1,1
,,9,blank,blank,HvCa+ura50,,,
,,10,blank,blank,HvCa+ura50,glu01,,
,,11,blank,blank,HvCa+ura50,,,
,,12,HV35,parent,HvCa+ura50,,1,2
,,13,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,2
,,14,HV287,_trmB+p,HvCa+ura50+nov10,,1,1
,,15,HV35,parent,HvCa+ura50,,1,3
,,16,HV284,parent+p,HvCa+ura50+nov10,glu01,1,1
,,17,HV187,trmB-HA,HvCa+ura50,,1,1
,,18,HV208,_trmB,HvCa+ura50,glu01,1,3
,,19,HV285,parent+ptrmB,HvCa+ura50+nov10,glu01,1,1
,,20,blank,blank,HvCa+ura50,glu01,,
,,21,blank,blank,HvCa+ura50,,,
,,22,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,1
,,23,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,3
,,24,HV35,parent,HvCa+ura50,glu01,1,1
,,25,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,3
,,26,HV187,trmB-HA,HvCa+ura50,glu01,1,2
,,27,HV290,_trmB+ptrmB,HvCa+ura50+nov10,,1,1
,,28,HV285,parent+ptrmB,HvCa+ura50+nov10,,1,2
,,29,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,glu01,1,3
,,30,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,1,2
,,31,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,1,1
,,32,HV285,parent+ptrmB,HvCa+ura50+nov10,,2,2
,,33,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,1,2
,,34,HV35,parent,HvCa+ura50,glu01,1,3
,,35,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,glu01,2,1
,,36,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,1,2
,,37,HV187,trmB-HA,HvCa+ura50,glu01,2,1
,,38,HV208,_trmB,HvCa+ura50,glu01,1,2
,,39,HV290,_trmB+ptrmB,HvCa+ura50+nov10,glu01,2,1
,,40,blank,blank,HvCa+ura50,glu01,,
,,41,blank,blank,HvCa+ura50,,,
,,42,HV286,parent+ptrmB-HA,HvCa+ura50+nov10,,1,1
,,43,HV289,_trmB+ptrmB-HA,HvCa+ura50+nov10,,2,1
,,44,HV284,parent+p,HvCa+ura50+nov10,glu01,1,2
,,45,HV208,_trmB,HvCa+ura50,glu01,2,2
