Label,Info,variable,strain,name,media,condition,techrep,biorep
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",Blank,,,,,,
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_1,H26,pyrE,HvCA_ura,noGlu,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_2,H26,pyrE,HvCA_ura,noGlu,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_3,H26,pyrE,HvCA_ura,noGlu,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_4,H26,pyrE,HvCA_ura,noGlu,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_5,H26,pyrE,HvCA_ura,noGlu,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_6,H26,pyrE,HvCA_ura,noGlu,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_7,H26,pyrE,HvCA_ura,noGlu,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_8,H26,pyrE,HvCA_ura,noGlu,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_pyrE_9,H26,pyrE,HvCA_ura,noGlu,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_1,AKS180,tbsP,HvCA_ura,noGlu,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_2,AKS180,tbsP,HvCA_ura,noGlu,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_3,AKS180,tbsP,HvCA_ura,noGlu,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_4,AKS180,tbsP,HvCA_ura,noGlu,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_5,AKS180,tbsP,HvCA_ura,noGlu,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_6,AKS180,tbsP,HvCA_ura,noGlu,3,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_7,AKS180,tbsP,HvCA_ura,noGlu,1,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_8,AKS180,tbsP,HvCA_ura,noGlu,2,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_tbsP_9,AKS180,tbsP,HvCA_ura,noGlu,3,3
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_1,AKS154,trmB,HvCA_ura,noGlu,1,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_2,AKS154,trmB,HvCA_ura,noGlu,2,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_3,AKS154,trmB,HvCA_ura,noGlu,3,1
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_4,AKS154,trmB,HvCA_ura,noGlu,1,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_5,AKS154,trmB,HvCA_ura,noGlu,2,2
trmb_tbsP_glucose,"testing growth of trmB, tbsP, and double mutant with and without glucose in HvCA medium",noGlu_trmB_6,AKS154,trmB,HvCA_ura,noGlu,3,2
