date,filename,condition,plate,WT,strain,template_colony,area_label,area_in,notes
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,trmBtbsP,1,2,0.135,
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,trmBtbsP,2,1,0.179,
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,trmBtbsP,3,5,0.245,
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,WT,1,3,0.34,
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,WT,2,6,0.165,
8/26/2022,dd1glu_analyzed,trmBtbsP+glu,1,H26,WT,3,4,0.194,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,trmBtbsP,1,2,0.092,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,trmBtbsP,2,1,0.142,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,trmBtbsP,3,5,0.113,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,WT,1,4,0.067,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,WT,2,6,0.066,
8/26/2022,dd1noglu_analyzed,trmBtbsP+noglu,1,H26,WT,3,3,0.04,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,trmBtbsP,1,1,0.076,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,trmBtbsP,2,2,0.129,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,trmBtbsP,3,6,0.153,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,WT,1,4,0.193,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,WT,2,5,0.122,
8/26/2022,dd2glu_analyzed,trmBtbsP+glu,2,H26,WT,3,3,0.104,
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,trmBtbsP,1,2,0.174,
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,trmBtbsP,2,1,0.181,disrupted
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,trmBtbsP,3,5,0.197,
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,WT,1,3,0.156,
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,WT,2,6,0.076,
8/26/2022,dd2noglu_analyzed,trmBtbsP+noglu,2,H26,WT,3,4,0.052,
