sample,well,date,strain_ID,lysate_mass,condition,strain,promoter,bioreps
1,A01,20220918,HV370,2647,+glu,parent,+ctrl,1
2,A02,20220918,HV370,2697,+glu,parent,+ctrl,2
3,A03,20220918,HV370,2419,+glu,parent,+ctrl,3
4,A04,20220918,HV373,4602,+glu,parent,EV,1
5,A05,20220918,HV373,14767,+glu,parent,EV,2
6,A06,20220918,HV373,9349,+glu,parent,EV,3
7,A07,20220918,HV392,4941,-glu,parent,gapII,1
8,A08,20220918,HV392,808,+glu,parent,gapII,1
9,A09,20220918,HV392,49915,+glu,parent,gapII,3
10,A10,20220918,HV383,10370,+glu,trmB,+ctrl,1
11,A11,20220918,HV383,7077,+glu,trmB,+ctrl,2
12,A12,20220918,HV383,2628,+glu,trmB,+ctrl,3
13,B01,20220918,HV385,7056,+glu,trmB,EV,1
14,B02,20220918,HV385,19840,+glu,trmB,EV,2
15,B03,20220918,HV385,2968,+glu,trmB,EV,3
16,B04,20220918,HV361,39206,+glu,trmB,gapII,1
17,B05,20220918,HV361,12601,+glu,trmB,gapII,2
18,B06,20220918,HV361,33381,+glu,trmB,gapII,3
19,B07,20220918,HV387,3115,+glu,tbsP,+ctrl,1
20,B08,20220918,HV387,843,+glu,tbsP,+ctrl,1
21,B09,20220918,HV387,57547,+glu,tbsP,+ctrl,3
22,B10,20220918,HV389,4726,+glu,tbsP,EV,1
23,B11,20220918,HV389,7520,+glu,tbsP,EV,2
24,B12,20220918,HV389,4711,+glu,tbsP,EV,3
25,C01,20220918,HV365,2936,+glu,tbsP,gapII,1
26,C02,20220918,HV365,2211,+glu,tbsP,gapII,2
27,C03,20220918,HV365,2293,+glu,tbsP,gapII,3
28,C04,20220918,HV405,22913,+glu,trmBtbsP,+ctrl,1
29,C05,20220918,HV405,8201,+glu,trmBtbsP,+ctrl,2
30,C06,20220918,HV405,15278,+glu,trmBtbsP,+ctrl,3
31,C07,20220918,HV390,13621,+glu,trmBtbsP,EV,1
32,C08,20220918,HV390,921,+glu,trmBtbsP,EV,2
33,C09,20220918,HV390,21947,+glu,trmBtbsP,EV,3
34,C10,20220918,HV367,1328,+glu,trmBtbsP,gapII,1
35,C11,20220918,HV367,849,+glu,trmBtbsP,gapII,2
36,C12,20220918,HV367,2350,+glu,trmBtbsP,gapII,3
37,D01,20220918,HV370,3889,-glu,parent,+ctrl,1
38,D02,20220918,HV370,4229,-glu,parent,+ctrl,2
39,D03,20220918,HV370,2135,-glu,parent,+ctrl,3
