# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-B" "-s" "2" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2021_counts3.txt" "aGTrmB_D_noglu_24_S42_sorted.bam" "deltadelta_a_glu_S16_sorted.bam" "deltadelta_a_noglu_S35_sorted.bam" "deltadelta_b_glu_S53_sorted.bam" "deltadelta_b_noglu_S36_sorted.bam" "deltadelta_c_glu_S43_sorted.bam" "deltadelta_d_glu_S44_sorted.bam" "deltadelta_d_noglu_S5_sorted.bam" "HVO_ref_RNA_S27_sorted.bam" "tbsP_a_glu_S33_sorted.bam" "tbsP_a_noglu_S24_sorted.bam" "tbsP_b_glu_S2_sorted.bam" "tbsP_b_noglu_S30_sorted.bam" "tbsP_c_glu_S51_sorted.bam" "tbsP_c_noglu_S15_sorted.bam" "tbsP_d_glu_S52_sorted.bam" "tbsP_d_noglu_S31_sorted.bam" "tbsP_e_glu_S3_sorted.bam" "tbsP_e_noglu_S50_sorted.bam" "trmB_a_glu_S4_sorted.bam" "trmB_a_noglu_S32_sorted.bam" "trmB_b_noglu_S25_sorted.bam" "trmB_c_glu_S34_sorted.bam" "trmB_c_noglu_S1_sorted.bam" "WT_a_glu_S39_sorted.bam" "WT_a_noglu_S37_sorted.bam" "WT_b_glu_S13_sorted.bam" "WT_b_noglu_S17_sorted.bam" "WT_c_glu_S18_sorted.bam" "WT_c_noglu_S6_sorted.bam" "WT_d_glu_S19_sorted.bam" "WT_d_noglu_s38_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	aGTrmB_D_noglu_24_S42_sorted.bam	deltadelta_a_glu_S16_sorted.bam	deltadelta_a_noglu_S35_sorted.bam	deltadelta_b_glu_S53_sorted.bam	deltadelta_b_noglu_S36_sorted.bam	deltadelta_c_glu_S43_sorted.bam	deltadelta_d_glu_S44_sorted.bam	deltadelta_d_noglu_S5_sorted.bam	HVO_ref_RNA_S27_sorted.bam	tbsP_a_glu_S33_sorted.bam	tbsP_a_noglu_S24_sorted.bam	tbsP_b_glu_S2_sorted.bam	tbsP_b_noglu_S30_sorted.bam	tbsP_c_glu_S51_sorted.bam	tbsP_c_noglu_S15_sorted.bam	tbsP_d_glu_S52_sorted.bam	tbsP_d_noglu_S31_sorted.bam	tbsP_e_glu_S3_sorted.bam	tbsP_e_noglu_S50_sorted.bam	trmB_a_glu_S4_sorted.bam	trmB_a_noglu_S32_sorted.bam	trmB_b_noglu_S25_sorted.bam	trmB_c_glu_S34_sorted.bam	trmB_c_noglu_S1_sorted.bam	WT_a_glu_S39_sorted.bam	WT_a_noglu_S37_sorted.bam	WT_b_glu_S13_sorted.bam	WT_b_noglu_S17_sorted.bam	WT_c_glu_S18_sorted.bam	WT_c_noglu_S6_sorted.bam	WT_d_glu_S19_sorted.bam	WT_d_noglu_s38_sorted.bam
HVO_RS04710	NC_013967.1	258	1952	+	1695	6411	12475	6926	13470	5383	10394	11062	6659	82	14530	12883	11744	12091	12490	8981	12850	9513	11945	12244	13363	10398	12833	10947	10378	13581	9380	14014	8438	10994	13163	16968	8375
HVO_RS04715	NC_013967.1	2000	2797	-	798	8166	12123	8954	11091	7190	8542	9294	7143	5	12143	10786	10418	10383	9778	8124	11298	9919	13541	10836	13407	9650	12645	12863	11116	14115	10285	16408	10635	14116	10250	22120	10103
HVO_RS04720	NC_013967.1	2942	4543	+	1602	7809	22141	16552	22119	10849	17865	19831	11195	9	21831	13851	18911	14199	19789	12172	20120	13225	19835	15086	21857	18260	24369	19576	18794	24728	15425	23175	13658	17628	14799	32470	12558
HVO_RS04725	NC_013967.1	4686	5813	+	1128	2023	3800	2216	3520	2402	2193	2548	2106	0	3064	2559	3140	2477	3211	2454	2943	1861	3527	2320	3470	1961	3709	3620	2870	4070	2580	4722	2240	3659	2590	6829	2369
HVO_RS04730	NC_013967.1	5936	6745	-	810	2168	2848	3382	2473	2732	1601	1891	2353	2	2192	3422	2277	3530	2563	3180	2505	3486	2785	3769	2682	2644	3789	3602	3337	4389	4083	5542	4149	4123	2521	7750	3274
HVO_RS04735	NC_013967.1	6854	7282	-	429	1087	1715	3988	1264	2705	969	1096	2603	4	1363	2674	1302	2518	1566	2506	1433	2641	1762	2871	1481	3789	5182	1901	4766	2790	4178	3567	3970	2853	2104	4959	3039
HVO_RS04740	NC_013967.1	7470	8648	+	1179	4786	8816	10458	6371	7273	4537	4823	7385	2	4129	6585	4795	6575	7028	6938	6168	7164	6635	7093	6246	6474	10092	9275	7596	11117	10161	12702	7966	8713	4378	17600	6760
HVO_RS04745	NC_013967.1	8873	10219	+	1347	7631	1733	4148	1365	5277	876	990	3222	0	1176	2209	1250	1891	1614	2175	1276	2217	1504	2471	1364	3520	7474	2699	5705	2310	5544	3241	5269	2396	2138	5291	4093
HVO_RS04750	NC_013967.1	10248	10907	-	660	2042	2390	4523	1903	3579	1114	1423	3687	1	1652	3016	1684	3083	1980	2911	1774	3390	1956	3639	2041	5417	8602	2521	6883	3108	4858	4594	4521	3103	1977	5853	3257
HVO_RS04755	NC_013967.1	10956	11528	-	573	747	4303	575	3466	409	3615	3498	445	1	5446	1881	4050	1561	3930	1413	4207	1475	3941	1549	5539	560	477	2499	435	2268	1978	5534	2572	1930	3547	2865	2267
HVO_RS04760	NC_013967.1	11661	11733	+	73	403	1344	152	1458	179	1382	1285	107	1	1256	489	1267	550	1985	315	1934	533	1047	524	1863	662	350	1262	471	1173	649	3339	892	1026	455	1651	510
HVO_RS04765	NC_013967.1	11897	12391	-	495	2452	1946	1452	1973	1435	1518	1577	1240	0	2521	1924	1811	2024	1342	1718	1389	1768	2561	1957	1747	740	991	1888	730	2497	1550	1150	1553	2646	1848	3978	1322
HVO_RS04770	NC_013967.1	12388	14871	-	2484	12217	15378	8691	16274	8239	11606	12454	8035	3	16644	12540	14523	11541	12197	9859	13192	10583	17266	12282	15705	5284	8825	15956	5809	17955	9396	12400	9666	16470	10598	26448	8806
HVO_RS04775	NC_013967.1	14980	15225	+	246	1146	2827	2586	2670	2032	1969	2211	1752	0	2540	2423	2363	2399	2493	2096	2409	2156	2921	2383	2702	2822	3674	2995	3403	3565	3307	3846	2625	2998	2313	5441	2233
HVO_RS04780	NC_013967.1	15479	16336	+	858	11774	16604	27163	13096	20524	10226	10753	21273	9	12933	22592	12404	22260	11234	19492	13127	24775	16920	25134	15770	27078	29446	18228	27500	19936	26568	17485	28280	21744	14232	34399	20633
HVO_RS04785	NC_013967.1	16358	16936	-	579	4622	9143	9650	8046	7540	5783	6728	6959	4	7891	7474	7356	7187	7218	6355	7510	6986	9759	7959	9362	5741	8415	10574	7919	12268	7095	10215	7999	11872	7172	18720	7861
