# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../../00_genome/genomic.gff" "-o" "../../HVO_counts/2019_counts2.txt" "dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam" "dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam" "dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam" "dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam" "HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-2_S2_L002_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-4_S16_L003_R1_001.fastq.gz_sorted.bam	dpyrE2-4hpfe-5_S12_L002_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-5_S46_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hmfe-6_S52_L005_R1_001.fastq.gz_sorted.bam	dtbsP-4hpfe-2_S38_L004_R1_001.fastq.gz_sorted.bam	dtrmB-4hmfe-5_S30_L004_R1_001.fastq.gz_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_L006_R1_001.fastq.gz_sorted.bam	HV35-ypc18_S15_L002_R1_001.fastq.gz_sorted.bam
HVO_RS04710	NC_013967.1	258	1952	+	1695	5878	7650	8217	8638	5	680	6795	4224	668	962
HVO_RS04715	NC_013967.1	2000	2797	-	798	3356	5322	5560	6886	1	268	4885	4180	1037	496
HVO_RS04720	NC_013967.1	2942	4543	+	1602	5119	6824	7145	7976	1	497	7727	4454	660	812
HVO_RS04725	NC_013967.1	4686	5813	+	1128	769	1297	1398	1612	0	79	1531	1190	225	192
HVO_RS04730	NC_013967.1	5936	6745	-	810	960	925	979	1116	0	50	938	1505	212	85
HVO_RS04735	NC_013967.1	6854	7282	-	429	723	356	389	605	0	24	501	1204	354	24
HVO_RS04740	NC_013967.1	7470	8648	+	1179	1687	1292	1325	1290	3	82	1882	3427	309	169
HVO_RS04745	NC_013967.1	8873	10219	+	1347	6102	1037	1141	1259	1	99	969	1937	499	112
HVO_RS04750	NC_013967.1	10248	10907	-	660	1873	695	751	837	0	57	884	1548	276	105
HVO_RS04755	NC_013967.1	10956	11528	-	573	334	1735	1875	2073	0	164	11868	79	82	589
HVO_RS04760	NC_013967.1	11661	11733	+	73	31	33	51	58	0	0	64	59	9	6
HVO_RS04765	NC_013967.1	11897	12391	-	495	1329	1097	1083	1113	2	112	1098	1027	243	104
HVO_RS04770	NC_013967.1	12388	14871	-	2484	3366	3693	3963	4326	1	312	4977	2382	648	576
HVO_RS04775	NC_013967.1	14980	15225	+	246	896	782	774	875	0	38	1080	900	339	94
HVO_RS04780	NC_013967.1	15479	16336	+	858	4959	4302	4455	4840	3	245	7064	5221	1053	487
HVO_RS04785	NC_013967.1	16358	16936	-	579	3219	3308	3359	2950	4	142	4443	3617	518	513
HVO_RS04790	NC_013967.1	17030	17488	-	459	536	738	867	1000	0	31	936	564	120	95
HVO_RS04795	NC_013967.1	17615	18295	+	681	1643	2107	2137	2593	0	119	2039	1515	412	297
HVO_RS04800	NC_013967.1	18323	19408	-	1086	1804	2641	2658	3082	1	114	2483	1677	504	246
HVO_RS04805	NC_013967.1	19512	21233	-	1722	1757	3290	3431	3545	0	102	1951	1039	393	299
HVO_RS04810	NC_013967.1	21243	22379	-	1137	1449	326	325	352	2	22	520	196	54	63
HVO_RS04815	NC_013967.1	22510	23400	+	891	847	677	711	878	1	80	648	963	286	98
HVO_RS04820	NC_013967.1	23410	24186	-	777	1746	1076	1199	1370	0	102	1043	2717	483	109
HVO_RS04825	NC_013967.1	24438	25298	+	861	10765	11346	12249	15983	18	1623	11912	16137	4109	1417
HVO_RS04830	NC_013967.1	25352	26794	-	1443	2705	1358	1393	3485	0	79	749	1152	536	104
HVO_RS04835	NC_013967.1	26974	27573	+	600	1590	2537	2537	3355	3	123	2115	1387	792	324
HVO_RS04840	NC_013967.1	27832	28101	-	270	693	783	818	963	1	42	961	1369	200	90
HVO_RS04845	NC_013967.1	28190	30286	+	2097	3358	3279	3431	3872	2	201	3403	2387	622	464
HVO_RS04850	NC_013967.1	30293	30712	+	420	480	598	649	756	0	38	614	343	146	87
HVO_RS04855	NC_013967.1	31121	32206	+	1086	436	428	440	356	0	44	464	191	39	38
HVO_RS04860	NC_013967.1	32276	32716	+	441	581	147	191	101	2	27	1689	661	118	83
HVO_RS04865	NC_013967.1	32744	33238	-	495	1730	319	381	193	0	90	5197	2806	440	378
HVO_RS04870	NC_013967.1	33689	34879	-	1191	7733	3821	3856	5454	1	152	2830	10344	1699	398
HVO_RS04875	NC_013967.1	34980	35174	+	195	478	533	525	618	0	13	548	1208	144	59
HVO_RS04880	NC_013967.1	35225	35722	+	498	2775	3586	3801	3550	4	85	2885	6133	885	339
HVO_RS04885	NC_013967.1	35776	37152	-	1377	1399	1841	2038	1964	1	85	1167	2067	414	145
HVO_RS04890	NC_013967.1	37234	39438	-	2205	6795	6638	7113	7357	3	389	5292	9391	1128	717
HVO_RS04895	NC_013967.1	39586	40056	+	471	886	558	622	278	3	37	5094	299	411	672
HVO_RS04900	NC_013967.1	40093	40992	-	900	17296	4500	4434	1986	9	190	30560	1173	4899	4847
HVO_RS04905	NC_013967.1	41076	42221	-	1146	26456	6410	6647	3092	17	291	45742	1702	8996	6069
HVO_RS04910	NC_013967.1	42218	43354	-	1137	24173	5959	6435	2918	25	241	48828	1702	7558	6169
HVO_RS04915	NC_013967.1	43351	44334	-	984	24766	5763	6115	2907	7	217	55720	1890	8437	7159
HVO_RS04920	NC_013967.1	44389	45432	-	1044	62723	12422	12945	6208	30	546	125142	4262	22673	13223
HVO_RS04925	NC_013967.1	45429	46304	-	876	57596	9694	10212	5193	30	456	110975	4678	15164	12539
HVO_RS04930	NC_013967.1	46306	46485	-	180	6159	1036	1118	779	2	44	16115	665	1888	2718
HVO_RS04935	NC_013967.1	46806	48272	-	1467	13210	10122	10561	9209	8	611	24891	9906	3661	2556
HVO_RS04940	NC_013967.1	48274	49491	-	1218	20363	11642	12031	10459	16	558	26337	13849	3508	3161
HVO_RS04945	NC_013967.1	49976	51190	-	1215	850	534	523	633	2	20	514	802	252	51
HVO_RS04950	NC_013967.1	51190	51675	-	486	305	253	242	294	0	15	347	572	86	31
HVO_RS04955	NC_013967.1	51719	52321	-	603	606	1653	1746	2205	1	70	2280	755	323	191
HVO_RS04960	NC_013967.1	52328	54112	-	1785	4606	9335	9745	10001	3	512	11711	5030	1408	1082
HVO_RS04965	NC_013967.1	54105	54959	-	855	2528	4263	4571	4759	3	214	6269	2339	745	650
HVO_RS04970	NC_013967.1	55092	55670	-	579	896	1534	1488	2125	2	69	1824	825	319	203
HVO_RS04975	NC_013967.1	55732	56178	-	447	588	1583	1701	2641	0	42	1447	160	144	143
HVO_RS04980	NC_013967.1	56181	57515	-	1335	2719	7105	7498	10523	3	192	5890	587	516	881
HVO_RS04985	NC_013967.1	57512	58591	-	1080	2095	5191	5356	7243	0	131	4487	473	463	628
HVO_RS04990	NC_013967.1	58588	60027	-	1440	2993	7260	7561	9717	2	170	5513	658	500	872
HVO_RS04995	NC_013967.1	60034	61083	-	1050	2529	5536	5664	7383	2	171	4448	487	379	749
HVO_RS05000	NC_013967.1	61296	63134	-	1839	95715	162449	171716	246631	36	3370	106433	23610	13883	15192
HVO_RS20790	NC_013967.1	63370	63537	+	168	181	349	373	561	0	24	484	689	67	29
HVO_RS05005	NC_013967.1	63622	64041	+	420	858	962	927	1193	0	67	901	1478	203	82
HVO_RS05010	NC_013967.1	64044	67652	+	3609	9539	10654	11278	11596	3	489	8779	7603	1953	1214
HVO_RS05015	NC_013967.1	67810	69072	-	1263	282	159	165	217	0	28	151	174	61	23
HVO_RS05020	NC_013967.1	69249	69536	+	288	722	754	792	887	0	17	565	497	257	131
HVO_RS05025	NC_013967.1	69607	70503	+	897	476	330	355	394	0	24	469	362	78	42
HVO_RS05030	NC_013967.1	70535	72082	-	1548	2771	3189	3483	3736	3	192	5194	2335	474	564
HVO_RS05035	NC_013967.1	72161	72538	-	378	8367	8166	8558	11079	8	419	9082	8649	1735	1101
HVO_RS05040	NC_013967.1	72583	72900	-	318	511	729	657	993	1	44	1122	441	100	114
HVO_RS05045	NC_013967.1	73059	73280	-	222	133	78	74	215	0	1	64	677	38	12
HVO_RS05050	NC_013967.1	73836	74666	+	831	264	287	312	375	1	8	193	192	24	20
HVO_RS05055	NC_013967.1	74663	76093	-	1431	1274	1349	1443	1503	0	70	1555	1303	165	150
HVO_RS05060	NC_013967.1	76230	77447	-	1218	647	959	1008	1307	0	84	1540	471	211	117
