chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_013968.1,WP_013035677.1,HVO_RS19295,HVO_C0001,1227,101,1327,+,protein_coding,AAA family ATPase
NC_013966.1,WP_004040991.1,HVO_RS01870,HVO_A0001,1251,152,1402,+,protein_coding,orc1/cdc6 family replication initiation protein
NC_013964.1,WP_004041152.1,HVO_RS00005,HVO_B0001,1233,201,1433,+,protein_coding,orc1/cdc6 family replication initiation protein
NC_013967.1,WP_004044954.1,HVO_RS04710,HVO_0001,1695,258,1952,+,protein_coding,ORC1-type DNA replication protein
NC_013965.1,WP_006655018.1,HVO_RS20735,HVO_D0002,144,347,490,+,protein_coding,hypothetical protein
NC_013965.1,WP_006655019.1,HVO_RS01850,HVO_D0003,2646,702,3347,+,protein_coding,transcriptional regulator
NC_013964.1,WP_004041151.1,HVO_RS00010,HVO_B0002,1158,1555,2712,+,protein_coding,M20 family metallopeptidase
NC_013968.1,WP_013035692.1,HVO_RS21365,HVO_C0002,438,1621,2058,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044955.1,HVO_RS04715,HVO_0002,798,2000,2797,-,protein_coding,S26 family signal peptidase
NC_013966.1,WP_004040992.1,HVO_RS01875,HVO_A0002,579,2008,2586,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035695.1,HVO_RS20335,HVO_C0003,897,2344,3240,+,protein_coding,hypothetical protein
NC_013966.1,WP_004040993.1,HVO_RS01880,HVO_A0003,825,2579,3403,-,protein_coding,ParA family protein
NC_013964.1,WP_004041150.1,HVO_RS00015,HVO_B0003,420,2760,3179,-,protein_coding,heme-binding protein
NC_013967.1,WP_004044956.1,HVO_RS04720,HVO_0003,1602,2942,4543,+,protein_coding,DNA-directed DNA polymerase II small subunit
NC_013968.1,WP_013035579.1,HVO_RS19305,HVO_C0004,1170,3380,4549,-,protein_coding,ISH3 family transposase
NC_013964.1,WP_004041149.1,HVO_RS00020,HVO_B0004,1248,3414,4661,-,protein_coding,serine hydroxymethyltransferase
NC_013966.1,NA,HVO_RS19715,HVO_A0004,99,4125,4223,-,pseudogene,peptide-methionine (S)-S-oxide reductase
NC_013966.1,WP_004040995.1,HVO_RS01885,HVO_A0005,1359,4283,5641,+,protein_coding,site-specific integrase
NC_013965.1,WP_004050879.1,HVO_RS01855,HVO_D0004A,228,4457,4684,-,protein_coding,hypothetical protein
NC_013968.1,WP_049941513.1,HVO_RS19310,HVO_C0005,693,4649,5341,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044957.1,HVO_RS04725,HVO_0004,1128,4686,5813,+,protein_coding,NADH:flavin oxidoreductase
NC_013965.1,WP_004050876.1,HVO_RS01860,HVO_D0005,618,4859,5476,+,protein_coding,hypothetical protein
NC_013964.1,WP_004041148.1,HVO_RS00025,HVO_B0005,1242,5024,6265,+,protein_coding,threonine ammonia-lyase
NC_013965.1,WP_004050867.1,HVO_RS01865,HVO_D0006,423,5469,5891,+,protein_coding,hypothetical protein
NC_013968.1,WP_013035697.1,HVO_RS19315,HVO_C0006,246,5497,5742,-,protein_coding,type II toxin-antitoxin system HicA family toxin
NC_013968.1,WP_013035701.1,HVO_RS19320,HVO_C0007,264,5743,6006,-,protein_coding,hypothetical protein
NC_013966.1,WP_004040996.1,HVO_RS01890,HVO_A0006,660,5824,6483,+,protein_coding,hypothetical protein
NC_013967.1,WP_013035623.1,HVO_RS04730,HVO_0005,810,5936,6745,-,protein_coding,ZIP family metal transporter
NC_013965.1,WP_006655017.1,HVO_RS01845,HVO_D0001,606,6038,6643,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035733.1,HVO_RS19325,HVO_C0008,282,6138,6419,-,protein_coding,hypothetical protein
NC_013964.1,WP_004041147.1,HVO_RS00030,HVO_B0006,879,6420,7298,-,protein_coding,hypothetical protein
NC_013968.1,WP_013035737.1,HVO_RS19330,HVO_C0009,450,6521,6970,+,protein_coding,hypothetical protein
NC_013966.1,WP_013035119.1,HVO_RS01895,HVO_A0007,1353,6551,7903,+,protein_coding,IS4-like element ISHvo11 family transposase
NC_013967.1,WP_004044961.1,HVO_RS04735,HVO_0006,429,6854,7282,-,protein_coding,hypothetical protein
NC_013968.1,WP_144064057.1,HVO_RS19335,HVO_C0010,363,7139,7501,+,protein_coding,hypothetical protein
NC_013967.1,WP_004044963.1,HVO_RS04740,HVO_0008,1179,7470,8648,+,protein_coding,aspartate kinase
