# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "locus_tag" "-a" "../00_genome/genomic.gff" "-o" "../HVO_counts/2019_counts.txt" "dpyrE2-4hmfe-2_S5_sorted.bam" "dpyrE2-4hmfe-4_S9_sorted.bam" "dpyrE2-4hmfe-5_S18_sorted.bam" "dpyrE2-4hpfe-2_S2_sorted.bam" "dpyrE2-4hpfe-4_S16_sorted.bam" "dpyrE2-4hpfe-5_S12_sorted.bam" "dtbsP-4hmfe-2_S40_sorted.bam" "dtbsP-4hmfe-5_S46_sorted.bam" "dtbsP-4hmfe-6_S52_sorted.bam" "dtbsP-4hpfe-2_S38_sorted.bam" "dtbsP-4hpfe-5_S43_sorted.bam" "dtbsP-4hpfe-6_S49_sorted.bam" "dtrmB-4hmfe-1_S24_sorted.bam" "dtrmB-4hmfe-5_S30_sorted.bam" "dtrmB-4hmfe-6_S36_sorted.bam" "dtrmB-4hpfe-1_S21_sorted.bam" "dtrmB-4hpfe-5_S27_sorted.bam" "dtrmB-4hpfe-6_S33_sorted.bam" "dtrmBdtbsP-4hmfe-2_S56_sorted.bam" "dtrmBdtbsP-4hmfe-5_S66_sorted.bam" "dtrmBdtbsP-4hmfe-6_S72_sorted.bam" "dtrmBdtbsP-4hpfe-2_S54_sorted.bam" "dtrmBdtbsP-4hpfe-5_S65_sorted.bam" "dtrmBdtbsP-4hpfe-6_S69_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	dpyrE2-4hmfe-2_S5_sorted.bam	dpyrE2-4hmfe-4_S9_sorted.bam	dpyrE2-4hmfe-5_S18_sorted.bam	dpyrE2-4hpfe-2_S2_sorted.bam	dpyrE2-4hpfe-4_S16_sorted.bam	dpyrE2-4hpfe-5_S12_sorted.bam	dtbsP-4hmfe-2_S40_sorted.bam	dtbsP-4hmfe-5_S46_sorted.bam	dtbsP-4hmfe-6_S52_sorted.bam	dtbsP-4hpfe-2_S38_sorted.bam	dtbsP-4hpfe-5_S43_sorted.bam	dtbsP-4hpfe-6_S49_sorted.bam	dtrmB-4hmfe-1_S24_sorted.bam	dtrmB-4hmfe-5_S30_sorted.bam	dtrmB-4hmfe-6_S36_sorted.bam	dtrmB-4hpfe-1_S21_sorted.bam	dtrmB-4hpfe-5_S27_sorted.bam	dtrmB-4hpfe-6_S33_sorted.bam	dtrmBdtbsP-4hmfe-2_S56_sorted.bam	dtrmBdtbsP-4hmfe-5_S66_sorted.bam	dtrmBdtbsP-4hmfe-6_S72_sorted.bam	dtrmBdtbsP-4hpfe-2_S54_sorted.bam	dtrmBdtbsP-4hpfe-5_S65_sorted.bam	dtrmBdtbsP-4hpfe-6_S69_sorted.bam
HVO_RS04710	NC_013967.1	258	1952	+	1695	5879	2668	7307	7652	8217	8646	2555	5	680	6796	7265	8472	4903	4227	3862	12822	11406	9658	1115	667	4485	522	13174	2719
HVO_RS04715	NC_013967.1	2000	2797	-	798	3357	1472	3898	5323	5561	6890	1162	1	268	4886	4813	7078	5125	4181	3094	7535	7980	6200	639	1037	4298	216	7848	1458
HVO_RS04720	NC_013967.1	2942	4543	+	1602	5121	1845	6133	6826	7145	7982	1884	1	497	7729	7783	9369	5618	4456	3973	10669	12254	10281	1225	660	3715	408	13247	2434
HVO_RS04725	NC_013967.1	4686	5813	+	1128	770	315	1034	1297	1398	1615	330	0	79	1531	1517	1806	1472	1190	829	1517	2474	2086	203	225	774	54	2944	484
HVO_RS04730	NC_013967.1	5936	6745	-	810	960	267	1102	925	979	1116	254	0	50	938	902	1518	2002	1507	1024	1311	1589	1356	166	212	781	24	2214	238
HVO_RS04735	NC_013967.1	6854	7282	-	429	723	122	868	356	389	605	75	0	24	501	418	631	1636	1204	691	593	725	586	102	354	687	18	1190	72
HVO_RS04740	NC_013967.1	7470	8648	+	1179	1688	456	2092	1292	1325	1292	330	3	82	1883	1635	2055	4452	3428	2580	2223	2522	1924	338	309	1186	128	3408	497
HVO_RS04745	NC_013967.1	8873	10219	+	1347	6094	349	7335	1031	1136	1248	232	1	99	959	945	1292	2503	1916	1641	1601	1567	1187	1606	498	2116	110	5019	246
HVO_RS04750	NC_013967.1	10248	10907	-	660	1873	362	2181	695	751	837	196	0	57	884	891	1082	1869	1549	1335	1356	1091	907	582	276	1480	156	3521	247
HVO_RS04755	NC_013967.1	10956	11528	-	573	334	225	353	1735	1877	2074	199	0	164	11870	12416	7805	86	79	204	5456	8554	8849	109	82	302	73	3152	1873
HVO_RS04760	NC_013967.1	11661	11733	+	73	31	12	26	33	51	58	18	0	0	64	55	94	34	60	57	155	108	180	2	9	36	5	134	21
HVO_RS04765	NC_013967.1	11897	12391	-	495	1329	330	1632	1097	1083	1114	249	2	112	1097	1083	1475	1093	1028	996	3494	2080	1786	344	243	716	90	4894	298
HVO_RS04770	NC_013967.1	12388	14871	-	2484	3366	979	3976	3695	3963	4327	932	1	312	4977	4714	5528	2894	2384	2124	5952	6530	5542	863	648	2650	258	11124	1284
HVO_RS04775	NC_013967.1	14980	15225	+	246	896	242	968	782	774	875	179	0	38	1082	1004	1147	1416	900	674	1778	1542	1393	129	339	1346	38	1683	287
HVO_RS04780	NC_013967.1	15479	16336	+	858	4960	1097	6127	4303	4456	4843	1005	3	245	7065	6561	7461	6779	5220	3910	6227	8571	7098	915	1053	3438	199	8823	1400
HVO_RS04785	NC_013967.1	16358	16936	-	579	3220	869	3793	3308	3359	2953	630	4	142	4443	4179	5270	5002	3619	3078	4609	6216	5104	676	519	2765	230	6172	1248
HVO_RS04790	NC_013967.1	17030	17488	-	459	538	198	640	737	867	1000	223	0	31	936	831	1124	763	564	455	1278	1251	1078	105	120	785	29	1278	225
HVO_RS04795	NC_013967.1	17615	18295	+	681	1643	596	1932	2107	2137	2595	662	0	119	2039	2067	2944	1825	1515	1293	2963	3654	3195	325	412	2253	125	4391	802
HVO_RS04800	NC_013967.1	18323	19408	-	1086	1804	560	2120	2642	2661	3086	521	1	114	2485	2240	3307	2164	1677	1431	3221	3907	2833	309	504	1866	144	6047	714
HVO_RS04805	NC_013967.1	19512	21233	-	1722	1759	660	2072	3292	3432	3547	505	0	102	1951	1838	4103	1273	1039	761	2398	3958	3214	409	393	1563	172	7336	826
HVO_RS04810	NC_013967.1	21243	22379	-	1137	1451	108	1654	326	325	352	85	2	22	520	515	525	189	196	182	711	637	539	588	54	192	552	9894	146
HVO_RS04815	NC_013967.1	22510	23400	+	891	847	457	1024	678	713	879	210	1	80	648	602	1008	1199	962	847	1179	779	660	362	287	1128	81	3756	234
HVO_RS04820	NC_013967.1	23410	24186	-	777	1745	579	2020	1076	1200	1372	285	0	102	1046	1050	1509	3393	2720	1924	1762	1400	1033	515	483	2025	122	4906	297
HVO_RS04825	NC_013967.1	24438	25298	+	861	10772	8171	12956	11345	12252	16000	4194	18	1623	11911	13014	19151	18322	16140	13292	39126	15289	11975	3411	4109	28545	1002	53248	3823
HVO_RS04830	NC_013967.1	25352	26794	-	1443	2705	1004	3291	1359	1393	3489	903	0	79	749	623	1241	1327	1153	1111	1880	1209	914	462	536	2151	81	4103	255
HVO_RS04835	NC_013967.1	26974	27573	+	600	1589	788	1774	2537	2537	3357	497	3	123	2115	2078	3545	1689	1387	1331	3141	3776	3133	517	793	3244	140	5378	748
HVO_RS04840	NC_013967.1	27832	28101	-	270	696	283	848	783	818	964	194	1	42	961	894	1213	1417	1369	1065	1858	1519	1361	131	200	733	50	2108	230
HVO_RS04845	NC_013967.1	28190	30286	+	2097	3358	1161	4057	3279	3432	3875	927	2	201	3403	3507	4829	2822	2387	2108	4041	5509	4568	1047	623	3514	275	9059	1312
HVO_RS04850	NC_013967.1	30293	30712	+	420	480	144	589	598	649	756	138	0	38	614	575	876	360	343	265	826	1040	828	92	146	576	35	1495	177
HVO_RS04855	NC_013967.1	31121	32206	+	1086	436	90	556	428	440	356	85	0	44	464	468	655	256	191	195	835	792	679	115	39	226	45	2226	136
HVO_RS04860	NC_013967.1	32276	32716	+	441	582	63	647	147	191	101	120	2	27	1689	1381	1766	991	662	496	1080	826	712	137	118	402	42	3589	230
HVO_RS04865	NC_013967.1	32744	33238	-	495	1732	122	2040	319	381	193	509	0	90	5197	5158	5015	4480	2807	2169	3204	2308	2214	392	442	2744	150	7187	1011
HVO_RS04870	NC_013967.1	33689	34879	-	1191	7737	1814	9215	3824	3856	5457	1060	1	152	2831	2699	4542	14393	10350	7639	2438	4707	3317	1923	1699	6945	320	12493	940
HVO_RS04875	NC_013967.1	34980	35174	+	195	478	99	652	534	525	618	57	0	13	548	495	1081	2155	1208	851	400	1234	975	60	144	605	28	990	173
HVO_RS04880	NC_013967.1	35225	35722	+	498	2776	844	3257	3586	3802	3552	486	4	85	2885	2771	5420	8457	6135	4503	2874	5631	5128	537	885	3741	156	5308	916
HVO_RS04885	NC_013967.1	35776	37152	-	1377	1399	490	1569	1842	2038	1966	305	1	85	1168	1147	2208	2957	2067	1658	2196	2483	1845	293	414	1291	65	4022	385
HVO_RS04890	NC_013967.1	37234	39438	-	2205	6796	2397	8259	6638	7114	7361	1525	3	390	5292	5641	7465	12985	9396	8231	7198	8626	7267	1826	1128	6804	387	13058	2042
HVO_RS04895	NC_013967.1	39586	40056	+	471	887	168	1102	558	622	278	699	3	37	5091	4938	5244	284	299	552	796	1336	1052	228	411	1759	135	11218	1888
